resample,horizon,window,hidden,rows_after,test_points,persistence_rmse,mlp_rmse,lstm_rmse,lstm_mae,lstm_mape,rmse_gain_vs_persistence
30min,2,16,64,342,7,0.7086286472976053,0.183130211324034,0.08212797490253179,0.08052125998905726,178.08821522837093,0.6265006723950736
30min,2,16,32,342,7,0.7086286472976053,0.11536275447179707,0.24592613184656115,0.22969722747802734,520.0697641895326,0.4627025154510442
30min,2,12,64,342,15,0.6593959028158678,0.4992873946491251,0.516502042325268,0.38580385148525237,49.966968939354764,0.14289386049059982
30min,2,12,32,342,15,0.6593959028158678,0.490465513241502,0.5180052857412952,0.41077088514963783,51.939651291032575,0.14139061707457257
30min,1,16,64,342,9,0.37045697009263284,0.44298174465277035,0.35947016430224166,0.2020747313896815,64.85286146543856,0.010986805790391185
30min,1,16,32,342,9,0.37045697009263284,0.4385225946452009,0.36710686312090396,0.28438472416665816,106.60373021134473,0.0033501069717288834
15min,2,16,64,605,40,0.4944307364044662,0.6534637329535292,0.5092814222402413,0.30949447117745876,33.898370965564474,-0.01485068583577509
15min,2,8,64,605,64,0.4572155491781712,0.7137792454970978,0.47251346842798053,0.3285410921089351,60.22852792264406,-0.015297919249809333
30min,1,12,64,342,17,0.4341243283770988,0.44818191898906584,0.46743740049811083,0.33354106107178855,43.981065565849974,-0.03331307212101203
10min,2,8,64,860,102,0.4460620406811685,0.46908375536244645,0.49093032689424376,0.3308042594615151,45.37700594403879,-0.04486828621307526
30min,1,12,32,342,17,0.4341243283770988,0.4493869090662604,0.4862393333712737,0.40957503634340625,49.77924799449473,-0.052115004994174874
10min,2,24,64,860,57,0.48311140323732327,0.557637222589825,0.5355226113596672,0.3124467390671111,30.48424976592215,-0.0524112081223439
10min,2,12,32,860,90,0.44459934431198816,0.7492728400182459,0.4974213464474431,0.3319281170765559,44.75286342607942,-0.05282200213545496
10min,2,8,32,860,102,0.4460620406811685,0.6940403958191391,0.5053121240454704,0.34076512005983617,46.05574129968023,-0.05925008336430193
15min,2,24,32,605,24,0.5033670051042001,0.5642594756032546,0.5670382928206268,0.37367390220363933,55.01019110753953,-0.06367128771642672
10min,2,12,64,860,90,0.44459934431198816,0.484707081244899,0.526747587608191,0.36394755442937216,47.5923691572599,-0.0821482432962028
10min,2,16,64,860,78,0.45700605623329343,0.6875088803782071,0.5473134462738743,0.3760589063167572,46.45469643816306,-0.09030739004058091
30min,2,8,32,342,25,0.5888642985336578,0.6965233717491953,0.6804675308665792,0.5364121222496032,52.256075693472006,-0.09160323233292134
15min,2,24,64,605,24,0.5033670051042001,0.5474848656504825,0.5983293034401522,0.36671914036075276,54.32485892689547,-0.09496229833595216
30min,2,8,64,342,25,0.5888642985336578,0.7177756050128088,0.6892379403025676,0.5372997009754181,53.77063087476592,-0.10037364176890973
15min,1,8,64,605,67,0.34049961704736603,0.5536716070512727,0.4468325249647908,0.2983903847078779,55.492287174989364,-0.10633290791742478
15min,1,16,64,605,43,0.3451337672808884,0.7874575393576142,0.4593227029097936,0.28272223472595215,31.845585185771093,-0.1141889356289052
15min,1,16,32,605,43,0.3451337672808884,0.6975283465466919,0.46688114905638906,0.2911486008832621,34.30752708768634,-0.12174738177550065
10min,1,8,64,860,105,0.3123937088876316,0.42566191306741846,0.4400559894733937,0.302092047958147,43.62379269165306,-0.12766228058576207
10min,1,8,32,860,105,0.3123937088876316,0.4349262361276897,0.4541534561916369,0.3112290661959421,43.62763299770465,-0.14175974730400526
10min,1,16,64,860,81,0.32348295483279166,0.6429480448629249,0.4776839904296124,0.30583357994939075,42.52855149422606,-0.15420103559682075
10min,1,24,32,860,59,0.35430081491156284,0.5871931237938034,0.5202206162242098,0.3075963006181232,31.036648008379746,-0.16591980131264694
10min,1,16,32,860,81,0.32348295483279166,0.6689221100563394,0.5025595669123301,0.3402220281185927,43.61630220066741,-0.1790766120795384
15min,1,24,64,605,26,0.31550917370900095,0.5362617006210625,0.5042469247769193,0.30261849382748973,44.35719886882216,-0.1887377510679184
10min,1,24,64,860,59,0.35430081491156284,0.5465764003946479,0.54352462571234,0.3357476650153176,34.293415247431874,-0.1892238108007771
15min,2,12,64,605,52,0.4795933784346201,0.7087783037923945,0.6865747462203103,0.5387464222999719,68.99485533907917,-0.20698136778569026
30min,1,8,32,342,28,0.3739059896089898,0.5917154069943298,0.5928867507361488,0.4617585103426661,49.28391521813721,-0.21898076112715903
15min,1,24,32,605,26,0.31550917370900095,0.5629643990288125,0.5394198282492271,0.32853175699710846,46.35281831389897,-0.22391065454022613
10min,2,24,32,860,57,0.48311140323732327,0.68373139510911,0.7102322737987061,0.49442772880980845,48.38355785001415,-0.22712087056138286
15min,2,8,32,605,64,0.4572155491781712,0.7143606832750826,0.7046488638954862,0.56826271279715,72.07877854738591,-0.247433314717315
15min,2,16,32,605,40,0.4944307364044662,0.6818667709144016,0.7563723222986531,0.5860465303063392,63.693121618452395,-0.2619415858941869
15min,2,12,32,605,52,0.4795933784346201,0.5341659704040573,0.7572728299187799,0.6025478610625634,69.48441185070516,-0.2776794514841598
10min,2,16,32,860,78,0.45700605623329343,0.7901088645542118,0.7371761588365505,0.5735578685998917,59.95057923240093,-0.2801701026032571
30min,1,8,64,342,28,0.3739059896089898,0.6890994744477551,0.6752801968428531,0.5303253989134517,50.77789204439637,-0.3013742072338633
15min,1,12,32,605,55,0.34389574710766263,0.6086852942422308,0.6759333701061562,0.510886226458983,60.836202514354255,-0.33203762299849354
10min,1,12,64,860,93,0.3177809146324771,0.6859904835636128,0.6964079917839774,0.5410281749822761,59.55678502047421,-0.3786270771515003
15min,1,8,32,605,67,0.34049961704736603,0.7195580844829426,0.7349112171451279,0.5706580741636789,64.00360033708682,-0.3944116000977618
15min,1,12,64,605,55,0.34389574710766263,0.7074566269121249,0.7539530563708581,0.5973294588652525,67.32306204932695,-0.41005730926319545
10min,1,12,32,860,93,0.3177809146324771,0.45712939250623796,0.7922805353900754,0.6158945012477136,64.14905604445501,-0.4744996207575983
